Slip	Fy	N
0.0	0	402.21
10.0	218.89424310107182	402.21
15.0	257.57095300363875	402.21
1.0	48.99062496075187	402.21
2.0	80.00323449983853	402.21
3.0	89.6752305460573	402.21
4.0	127.7144857864747	402.21
5.0	145.42472638935428	402.21
6.0	157.19948732394073	402.21
7.0	170.36637091801904	402.21
8.0	195.35125948283678	402.21
0.0	0	608.22
10.0	268.8968843155159	608.22
15.0	299.4453885290297	608.22
1.0	66.03687677297077	608.22
20.0	395.59530121735037	608.22
2.0	107.19667469873862	608.22
3.0	132.52792801641135	608.22
4.0	157.02220991520807	608.22
5.0	199.38309897839298	608.22
6.0	226.4543092035774	608.22
8.0	239.81894740401955	608.22
0.0	0	809.325
10.0	343.0991957184128	809.325
15.0	445.9017532945562	809.325
1.0	121.81953607181977	809.325
20.0	491.2493373062454	809.325
2.0	159.57526434409425	809.325
3.0	184.1827900178348	809.325
4.0	222.97701820544475	809.325
5.0	253.16654078496487	809.325
6.0	271.6566443541145	809.325
7.0	299.4342895069964	809.325
8.0	317.2725826533478	809.325
